Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetQuickMenu,2931,336,2,329130,6089.23,0.034%,5.61218,1.47,2.18,268.9
http://192.168.2.5/ACCSSPLDRYRUN/Sales/VendorLockingReason,977,16712,192,364561,42516.97,99.795%,1.87013,3799.26,51.58,2080307.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,975,160,2,17140,678.13,0.000%,1.86762,0.46,0.83,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,975,110,1,2129,179.68,0.000%,1.86767,0.48,0.77,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetPlant,975,124,1,6629,312.12,0.000%,1.86777,0.46,0.83,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetVendorCustomerDropDownsForDeliveryChallan?CustVendorType=V,975,112,1,6043,257.15,0.000%,1.86787,0.46,0.75,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,1949,123,1,12654,367.81,0.000%,3.73109,0.92,1.66,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetVendorCustomerDropDownsForDeliveryChallan?CustVendorType=C,975,118,1,9451,364.64,0.000%,1.86800,0.46,0.75,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetReportVendorLockingByVendorId,975,412,14,8353,613.74,0.000%,1.86796,2.26,0.87,1240.0
http://192.168.2.5/ACCSSPLDRYRUN/Sales/Get90DaysOverLockedVendors,1949,1891,28,964374,23339.18,100.000%,1.94434,89.31,0.87,47034.0
Test,974,21839,602,365782,45222.12,100.000%,1.86278,3970.11,61.74,2182429.2
TOTAL,14630,2975,1,964374,19468.75,26.651%,14.58368,4140.71,64.39,290741.7
